filename,input_size,runtime
real_cities_10000_cities_ultra_mega_extreme.json,10000,150.436353916
real_cities_1000_cities_extreme_1.json,1000,0.8457092920000093
real_cities_1000_cities_extreme_2.json,1000,0.8789527499999963
real_cities_1000_cities_extreme_3.json,1000,0.8402328329999875
real_cities_1000_cities_extreme_4.json,1000,0.8498739580000176
real_cities_1000_cities_extreme_5.json,1000,0.8618324580000092
real_cities_100_cities_1.json,100,0.00235179200001312
real_cities_100_cities_10.json,100,0.0021044590000087737
real_cities_100_cities_2.json,100,0.0023807919999967453
real_cities_100_cities_3.json,100,0.0021784580000030473
real_cities_100_cities_4.json,100,0.002444375000010268
real_cities_100_cities_5.json,100,0.0025588750000054006
real_cities_100_cities_6.json,100,0.0021566249999978027
real_cities_100_cities_7.json,100,0.002390082999994547
real_cities_100_cities_8.json,100,0.0022915410000052816
real_cities_100_cities_9.json,100,0.002133958000001712
real_cities_10_cities_1.json,10,2.2540999992770594e-05
real_cities_10_cities_10.json,10,3.0334000001630557e-05
real_cities_10_cities_2.json,10,2.599999999119973e-05
real_cities_10_cities_3.json,10,2.6833000021042608e-05
real_cities_10_cities_4.json,10,1.9292000018822364e-05
real_cities_10_cities_5.json,10,2.0374999991190634e-05
real_cities_10_cities_6.json,10,2.7916999982835478e-05
real_cities_10_cities_7.json,10,1.8541999992294222e-05
real_cities_10_cities_8.json,10,2.4750000022777385e-05
real_cities_10_cities_9.json,10,2.0417000001771157e-05
real_cities_2000_cities_ultra_extreme.json,2000,4.466266875000002
real_cities_200_cities_extreme_1.json,200,0.01307366599999682
real_cities_200_cities_extreme_3.json,200,0.012602084000008063
real_cities_200_cities_extreme_4.json,200,0.013272083000003931
real_cities_200_cities_extreme_5.json,200,0.013104499999997188
real_cities_20_cities_1.json,20,9.720900001752852e-05
real_cities_20_cities_10.json,20,6.662499998810745e-05
real_cities_20_cities_2.json,20,9.150000002478009e-05
real_cities_20_cities_3.json,20,8.179200000313358e-05
real_cities_20_cities_4.json,20,9.433300002115175e-05
real_cities_20_cities_5.json,20,6.908399998906134e-05
real_cities_20_cities_6.json,20,0.0001041669999892747
real_cities_20_cities_7.json,20,8.124999999381544e-05
real_cities_20_cities_8.json,20,8.595799999966403e-05
real_cities_20_cities_9.json,20,9.7375000024158e-05
real_cities_3000_cities_ultra_ultra_extreme.json,3000,9.958841124999992
real_cities_5000_cities_mega_extreme.json,5000,35.11342450000001
real_cities_50_cities_1.json,50,0.0005580830000155856
real_cities_50_cities_10.json,50,0.0005727500000034524
real_cities_50_cities_2.json,50,0.0005721670000014001
real_cities_50_cities_3.json,50,0.0005399589999797172
real_cities_50_cities_4.json,50,0.0005068339999922955
real_cities_50_cities_5.json,50,0.0004845409999916228
real_cities_50_cities_6.json,50,0.0005401249999863467
real_cities_50_cities_7.json,50,0.0005865420000077393
real_cities_50_cities_8.json,50,0.0005546670000171616
real_cities_50_cities_9.json,50,0.0004754999999931897
real_cities_5_cities_1.json,5,5.208000004586211e-06
real_cities_5_cities_10.json,5,6.834000004118934e-06
real_cities_5_cities_2.json,5,5.458999993379621e-06
real_cities_5_cities_3.json,5,6.4589999908548634e-06
real_cities_5_cities_4.json,5,6.708999990223674e-06
real_cities_5_cities_5.json,5,6.708000000799075e-06
real_cities_5_cities_6.json,5,8.291999989751275e-06
real_cities_5_cities_7.json,5,5.832999988797383e-06
real_cities_5_cities_8.json,5,9.79099999653954e-06
real_cities_5_cities_9.json,5,7.917000004908914e-06
